,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
22,frozenset({4628597}),frozenset({2072671}),0.06717747179733666,0.011365885379852413,0.0013571206423704373,0.0202020202020202,1.7774260013065983,0.0005935891978136408,1.0090183231690166
23,frozenset({2072671}),frozenset({4628597}),0.011365885379852413,0.06717747179733666,0.0013571206423704373,0.11940298507462686,1.7774260013065981,0.0005935891978136408,1.0593069388064142
24,frozenset({2698353}),frozenset({4628597}),0.020102349515112104,0.06717747179733666,0.0021205010037038084,0.10548523206751055,1.5702471266817257,0.0007700759860921609,1.0428251848303358
25,frozenset({4628597}),frozenset({2698353}),0.06717747179733666,0.020102349515112104,0.0021205010037038084,0.03156565656565656,1.5702471266817255,0.0007700759860921609,1.0118369480886977
26,frozenset({2698353}),frozenset({9277426}),0.020102349515112104,0.019904436088099747,0.0017246741496790975,0.08579465541490858,4.310328362741338,0.0013245482185349057,1.0720737629867094
27,frozenset({9277426}),frozenset({2698353}),0.019904436088099747,0.020102349515112104,0.0017246741496790975,0.08664772727272728,4.310328362741338,0.0013245482185349057,1.0728583918217125
28,frozenset({2708353}),frozenset({4628597}),0.011903078967457377,0.06717747179733666,0.0014702140292346406,0.12351543942992875,1.8386437614466118,0.0006705952775968015,1.0642771934236348
29,frozenset({4628597}),frozenset({2708353}),0.06717747179733666,0.011903078967457377,0.0014702140292346406,0.021885521885521883,1.8386437614466118,0.0006705952775968015,1.0102058022260418
30,frozenset({2716578}),frozenset({3988011}),0.006135316237383019,0.0048912889818767845,0.0013005739489383359,0.21198156682027652,43.33858980847607,0.0012705643442260945,1.2627987736311856
31,frozenset({3988011}),frozenset({2716578}),0.0048912889818767845,0.006135316237383019,0.0013005739489383359,0.26589595375722547,43.33858980847607,0.0012705643442260945,1.3538471676451396
32,frozenset({2726578}),frozenset({3631365}),0.014843507025926659,0.011026605219259803,0.0014984873759506913,0.10095238095238096,9.155345543345545,0.0013348138839064888,1.1000233734319673
33,frozenset({3631365}),frozenset({2726578}),0.011026605219259803,0.014843507025926659,0.0014984873759506913,0.13589743589743591,9.155345543345545,0.0013348138839064888,1.1400920838572361
34,frozenset({2726578}),frozenset({3908011}),0.014843507025926659,0.006078769543950918,0.002657694591308773,0.17904761904761904,29.454582502768545,0.0025674643328741486,1.210692914128598
35,frozenset({3908011}),frozenset({2726578}),0.006078769543950918,0.014843507025926659,0.002657694591308773,0.43720930232558136,29.454582502768545,0.0025674643328741486,1.7504846775985603
36,frozenset({2726578}),frozenset({3978011}),0.014843507025926659,0.03189233509570528,0.0016115807628148944,0.10857142857142857,3.404311043566363,0.0011381866627485858,1.086018213834946
37,frozenset({3978011}),frozenset({2726578}),0.03189233509570528,0.014843507025926659,0.0016115807628148944,0.050531914893617025,3.404311043566363,0.0011381866627485858,1.0375877909194722
38,frozenset({2726578}),frozenset({3998011}),0.014843507025926659,0.01272300602222285,0.003081794792049535,0.20761904761904762,16.318395767195767,0.002892940762767763,1.2459625524959927
39,frozenset({3998011}),frozenset({2726578}),0.01272300602222285,0.014843507025926659,0.003081794792049535,0.24222222222222223,16.318395767195767,0.002892940762767763,1.3000598880889531
40,frozenset({2726578}),frozenset({4628597}),0.014843507025926659,0.06717747179733666,0.0018943142299754022,0.12761904761904763,1.8997298380631713,0.0008971649553676457,1.069283465734494
41,frozenset({4628597}),frozenset({2726578}),0.06717747179733666,0.014843507025926659,0.0018943142299754022,0.028198653198653195,1.899729838063171,0.0008971649553676457,1.0137426709858806
42,frozenset({3524026}),frozenset({2783996}),0.03491758319432271,0.027368599621137153,0.0012723006022222851,0.03643724696356276,1.3313522601800116,0.0003166552480391195,1.0094115793847862
